show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,genres,date_added_year,country_primary,decade,title_id
s1,Movie,The Last Kingdom,,Actor A,"United States, Canada","September 9, 2021",2021,TV-MA,95 min,"Action & Adventure, Dramas",A war drama.,"['Action & Adventure', 'Dramas']",2021,United States,2020s,1
s2,TV Show,City Lights,Director B,"Actor B, Actor C",India,"July 15, 2020",2020,TV-14,2 Seasons,"International TV Shows, Romantic TV Shows",A modern romance.,"['International TV Shows', 'Romantic TV Shows']",2020,India,2020s,2
s5,TV Show,Science 101,Director E,Actor F,"United States, Mexico","November 11, 2022",2022,TV-G,1 Season,"Kids' TV, Docuseries",Science for kids.,"[""Kids' TV"", 'Docuseries']",2022,United States,2020s,5
s6,Movie,Comedy Night,Director F,Actor G,Canada,"May 5, 2021",2021,PG-13,97 min,"Comedies, Stand-Up Comedy",A stand-up special.,"['Comedies', 'Stand-Up Comedy']",2021,Canada,2020s,6
s11,TV Show,Crime Files,Director K,Actor L,Spain,"February 14, 2023",2023,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas",A crime anthology.,"['Crime TV Shows', 'TV Dramas']",2023,Spain,2020s,11
s13,TV Show,Design Dreams,Director M,Actor N,"South Korea, Japan","May 30, 2021",2021,TV-PG,2 Seasons,"Reality TV, International TV Shows",Competition show.,"['Reality TV', 'International TV Shows']",2021,South Korea,2020s,13
s17,Movie,Northern Sky,Director Q,Actor R,Norway,"September 12, 2022",2022,PG,102 min,"Dramas, International Movies",A winter tale.,"['Dramas', 'International Movies']",2022,Norway,2020s,16
s18,Movie,Startup Hub,Director R,Actor S,India,"June 21, 2023",2023,TV-14,109 min,"Comedies, Dramas",Office startup comedy.,"['Comedies', 'Dramas']",2023,India,2020s,17
s19,TV Show,Island Life,Director S,Actor T,Philippines,"April 1, 2021",2021,TV-14,1 Season,"International TV Shows, TV Dramas",Life on an island.,"['International TV Shows', 'TV Dramas']",2021,Philippines,2020s,18
s21,Movie,Urban Beats,Director U,Actor V,"United States, France","May 9, 2020",2020,R,105 min,"Music & Musicals, Dramas",A music drama.,"['Music & Musicals', 'Dramas']",2020,United States,2020s,20
s22,TV Show,Coders Club,Director V,Actor W,Singapore,"August 28, 2022",2022,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",Young coders learn together.,"[""Kids' TV"", 'TV Comedies']",2022,Singapore,2020s,21
s25,TV Show,World Cuisine,Director Y,Actor Z,"Mexico, Spain","June 6, 2020",2020,TV-G,3 Seasons,"Docuseries, International TV Shows",Travel and food.,"['Docuseries', 'International TV Shows']",2020,Mexico,2020s,23
